elapsed, window, total, successful, failed
10, 10, 95, 95, 0
20, 10, 85, 85, 0
30, 10, 105, 105, 0
40, 10, 110, 110, 0
50, 10, 90, 90, 0
60, 10, 105, 105, 0
70, 10, 100, 100, 0
80, 10, 95, 95, 0
90, 10, 100, 100, 0
100, 10, 105, 105, 0
110, 10, 90, 90, 0
120, 10, 105, 105, 0
130, 10, 100, 100, 0
140, 10, 105, 105, 0
150, 10, 90, 90, 0
160, 10, 105, 105, 0
170, 10, 90, 90, 0
180, 10, 105, 105, 0
190, 10, 100, 100, 0
200, 10, 105, 105, 0
210, 10, 90, 90, 0
220, 10, 105, 105, 0
230, 10, 100, 100, 0
240, 10, 110, 110, 0
250, 10, 85, 85, 0
260, 10, 105, 105, 0
270, 10, 110, 110, 0
280, 10, 90, 90, 0
290, 10, 105, 105, 0
300, 10, 100, 100, 0
310, 10, 95, 95, 0
320, 10, 100, 100, 0
330, 10, 105, 105, 0
340, 10, 90, 90, 0
350, 10, 105, 105, 0
360, 10, 100, 100, 0
370, 10, 95, 95, 0
380, 10, 100, 100, 0
390, 10, 105, 105, 0
400, 10, 90, 90, 0
410, 10, 105, 105, 0
420, 10, 100, 100, 0
430, 10, 105, 105, 0
440, 10, 90, 90, 0
450, 10, 105, 105, 0
460, 10, 100, 100, 0
470, 10, 110, 110, 0
480, 10, 85, 85, 0
490, 10, 105, 105, 0
500, 10, 110, 110, 0
510, 10, 90, 90, 0
520, 10, 95, 95, 0
530, 10, 110, 110, 0
540, 10, 85, 85, 0
550, 10, 105, 105, 0
560, 10, 110, 110, 0
570, 10, 90, 90, 0
580, 10, 105, 105, 0
590, 10, 100, 100, 0
600, 10, 95, 95, 0
601, 1, 10, 10, 0
